jour,Heure,TitreSpectacle,Lieu,Village,Compagnie,P,R,O,SJ,SA,E
vendredi 02 août 2019,14h30,Le Tartuffe ou l'imposteur,Manoir des noix,Veauce,La Compagnie de l’Élan,11,4,1,0,0,3
vendredi 02 août 2019,17h00,Mademoiselle Julie,Manoir des noix,Veauce,L'Ecume des ours,4,7,0,1,2,0
vendredi 02 août 2019,17h00,La gloire de mon père,Château de Lachaise,Monétay sur Allier,L'Accompagnie,16,0,2,0,0,3
vendredi 02 août 2019,20h30,Le château de ma mère,Château de Lachaise,Monétay sur Allier,L'Accompagnie,29,2,1,0,0,3
vendredi 02 août 2019,17h00,Les soliloques de Mariette,Château d'Idogne,Monteignet sur l'Andelot,labelles&cie,6,0,1,0,0,0
samedi 03 août 2019,14h30,Le mariage,Manoir des noix,Veauce,La Compagnie de l’Élan,6,3,1,0,0,0
samedi 03 août 2019,17h00,Titre Provisoire,Manoir des noix,Veauce,Alterthéâtre,8,3,0,2,3,0
samedi 03 août 2019,20h30,Le prophète,Manoir des noix,Veauce,Le Théâtre du partage,15,2,0,4,6,0
samedi 03 août 2019,14h30,Les soliloques de Mariette,Château de Lachaise,Monétay sur Allier,labelles&cie,6,0,0,0,0,0
samedi 03 août 2019,17h00,La demande en mariage et L'ours,Château de Lachaise,Monétay sur Allier,L'Ecume des ours,30,5,0,0,0,1
samedi 03 août 2019,20h30,Fricassée de berniques sur lit de Prévert,Château de Lachaise,Monétay sur Allier,labelles&cie,21,10,0,0,2,0
samedi 03 août 2019,14h30,La gloire de mon père,Château d'Idogne,Monteignet sur l'Andelot,L'Accompagnie,33,9,0,0,0,12
samedi 03 août 2019,17h00,Le château de ma mère,Château d'Idogne,Monteignet sur l'Andelot,L'Accompagnie,27,2,3,0,0,0
dimanche 04 août 2019,14h30,La gloire de mon père,Manoir des noix,Veauce,L'Accompagnie,21,0,2,3,2,3
dimanche 04 août 2019,14h30,Le Prophète,Eglise,Veauce,Le Théâtre du partage,40,20,20,0,0,0
dimanche 04 août 2019,17h00,Le château de ma mère,Manoir des noix,Veauce,L'Accompagnie,22,2,0,3,2,0
dimanche 04 août 2019,20h30,Les soliloques de Mariette,Manoir des noix,Veauce,labelles&cie,31,1,0,1,1,1
dimanche 04 août 2019,14h30,Mademoiselle Julie,Château de Lachaise,Monétay sur Allier,L'Ecume des ours,11,1,0,0,0,0
dimanche 04 août 2019,17h00,Titre Provisoire,Château de Lachaise,Monétay sur Allier,Alterthéâtre,12,1,0,0,0,0
dimanche 04 août 2019,20h30,Hugo es tu là?,Château de Lachaise,Monétay sur Allier,TIM La Parade,32,6,0,1,1,6
dimanche 04 août 2019,14h30,Le Tartuffe ou l'imposteur,Château d'Idogne,Monteignet sur l'Andelot,La Compagnie de l’Élan,21,4,0,0,0,1
dimanche 04 août 2019,17h00,La promesse de l'aube,Château d'Idogne,Monteignet sur l'Andelot,Des ils et des elles,21,2,1,0,0,1
dimanche 04 août 2019,20h30,Le marchand de Venise,Domaine de la Quérye,Monteignet sur l'Andelot,La Compagnie de l’Élan,70,20,5,0,2,4